,params,noise,r2_train,r2_test,mse_train,mse_test,mae_test,mae_train
0,"{'kernel': 'linear', 'C': 64.76855, 'epsilon': 0.006793}",1.0,0.7315683109775305,0.7026401586788296,0.2684316890224695,0.2775763521187264,0.4317488842760517,0.42845693964561055
1,"{'kernel': 'linear', 'C': 21.62282, 'epsilon': 0.01343}",1.0,0.7312725790279586,0.7053417207179653,0.26872742097204144,0.2763917277072231,0.4371488385356935,0.43027974210599534
2,"{'kernel': 'linear', 'C': 6.09208, 'epsilon': 0.00285}",1.0,0.7367684444912175,0.7037348608094691,0.26323155550878247,0.2726566367413465,0.43203515568816814,0.42479256463499043
3,"{'kernel': 'rbf', 'C': 7.89739, 'epsilon': 0.020708, 'gamma': 30.10516}",1.0,0.9675796688330545,0.9560468917495935,0.03242033116694549,0.04111450131798205,0.1633379989835756,0.13645789827785443
4,"{'kernel': 'rbf', 'C': 7.714452, 'epsilon': 0.01036, 'gamma': 24.57617}",1.0,0.966789136572732,0.9580688767885931,0.03321086342726796,0.03938406823340048,0.15867588961854703,0.13877768623925105
5,"{'kernel': 'rbf', 'C': 62.90105, 'epsilon': 0.00019, 'gamma': 21.73123}",1.0,0.9672281351485605,0.9553687468529555,0.0327718648514394,0.04243155321119369,0.16335011048231635,0.1356093330595633
6,"{'kernel': 'poly', 'C': 98.05169, 'epsilon': 0.01403, 'degree': 6, 'coef0': 9.89688}",1.0,-950.6960357308874,-1101.5631711123294,951.6960357308876,1037.0695734669434,21.954393530630963,21.541121163268556
7,"{'kernel': 'poly', 'C': 52.47482, 'epsilon': 0.00283, 'degree': 7, 'coef0': 9.45739}",1.0,-26648.588154473768,-28674.36424003629,26649.58815447377,26265.95486580634,123.66983726337578,124.16355333678955
8,"{'kernel': 'poly', 'C': 0.34617, 'epsilon': 0.411307, 'degree': 4, 'coef0': 2.2253}",1.0,0.7732309863172191,0.7578167810617735,0.22676901368278093,0.22781540295943967,0.3866267033150363,0.38373899354408353
9,"{'kernel': 'sigmoid', 'C': 70.96374, 'epsilon': 1.4122, 'coef0': 0.7384}",1.0,-2266630700.092153,-2406488350.9629526,2266630701.0921526,2229823462.6815577,38581.98432294939,39065.06854176838
10,"{'kernel': 'sigmoid', 'C': 89.26535, 'epsilon': 0.05399, 'coef0': 7.50992}",1.0,0.232833964691603,0.20365599330702333,0.7671660353083968,0.736411974044399,0.6505726115504004,0.6595616444694427
11,"{'kernel': 'sigmoid', 'C': 50.36861, 'epsilon': 1.50263, 'coef0': 0.87763}",1.0,-1275571143.0287855,-1351662003.6619434,1275571144.028785,1255784908.2775102,28626.43103979168,28990.831267936297
