,noise,r2_train,r2_test,mse_train,mse_test,mae_test,mae_train
0,0.01,0.7604385952329734,0.7327873741706354,0.23956140476702653,0.247677606451157,0.41329070536286977,0.409060818258385
1,0.05,0.7603212651991156,0.7319277326718435,0.23967873480088447,0.2483876883438307,0.41378458353036507,0.40916664634279776
2,0.1,0.7599199896905576,0.7329531114097021,0.24008001030944232,0.24740463337438398,0.41289934916033905,0.40956072113880315
3,0.5,0.7546477948069695,0.7263605958367119,0.2453522051930305,0.2530089815184954,0.4174633339058623,0.4131127688303801
4,1.0,0.7339983309217286,0.7010755055109139,0.26600166907827133,0.2759963150306735,0.43628582255123954,0.4277147871209928
5,5.0,0.3989723426432018,0.3781188530804753,0.6010276573567982,0.5892689054336782,0.6184493180086305,0.6211802403786626
6,0.01,0.7604213456074226,0.7327173984388649,0.23957865439257728,0.24770854424520833,0.41329947712084075,0.4090739856943302
7,0.05,0.7603807777993272,0.7328551141637469,0.23961922220067275,0.2475110798053612,0.41328147287275013,0.40910918585850314
8,0.1,0.7600175917104987,0.7318823975142024,0.23998240828950126,0.24863995032991604,0.413935173129806,0.4094104859513899
9,0.5,0.7540087406639218,0.7238567544514465,0.2459912593360782,0.2574062931300781,0.42179703997919954,0.414324693149673
10,1.0,0.7322477658247933,0.7083488779658644,0.2677522341752067,0.2725102495176368,0.43053303903247664,0.42951023983425785
11,5.0,0.3892580296114865,0.3328996582347996,0.6107419703885135,0.5980938343938087,0.6193017025076339,0.6203285102091561
