,params,noise,r2_train,r2_test,mse_train,mse_test,mae_test,mae_train
0,"{'kernel': 'linear', 'C': 64.76855, 'epsilon': 0.006793}",0.01,0.7604054918629535,0.7328461120079319,0.23959450813704647,0.24756631037668791,0.4130552248478177,0.40904967788315794
1,"{'kernel': 'linear', 'C': 21.62282, 'epsilon': 0.01343}",0.01,0.7604018521358732,0.7327760197581259,0.23959814786412684,0.2477008120591217,0.41318532365405813,0.4090804259130813
2,"{'kernel': 'linear', 'C': 6.09208, 'epsilon': 0.00285}",0.01,0.7604245802299978,0.7328425382866433,0.23957541977000224,0.24759482728280727,0.4131928007714672,0.409046962306693
3,"{'kernel': 'rbf', 'C': 7.89739, 'epsilon': 0.020708, 'gamma': 30.10516}",0.01,0.9989725546684013,0.9987132497575015,0.0010274453315987572,0.0011924698374609795,0.018261683264905435,0.01729535556810826
4,"{'kernel': 'rbf', 'C': 7.714452, 'epsilon': 0.01036, 'gamma': 24.57617}",0.01,0.9988152788023811,0.998528362766748,0.001184721197618885,0.0013640656469382042,0.011303081695478825,0.010562615358096798
5,"{'kernel': 'rbf', 'C': 62.90105, 'epsilon': 0.00019, 'gamma': 21.73123}",0.01,0.9987816412664628,0.9984899383579064,0.0012183587335371083,0.0013994641528840782,0.007830332201651479,0.006605707304263768
6,"{'kernel': 'poly', 'C': 98.05169, 'epsilon': 0.01403, 'degree': 6, 'coef0': 9.89688}",0.01,-909.3912589285919,-859.3685408699143,910.3912589285922,797.5104447849321,20.98918257115961,21.53185765426867
7,"{'kernel': 'poly', 'C': 52.47482, 'epsilon': 0.00283, 'degree': 7, 'coef0': 9.45739}",0.01,-26018.5789703574,-27353.948320139185,26019.5789703574,25352.464029225863,92.95526215578604,93.41825924097859
8,"{'kernel': 'poly', 'C': 0.34617, 'epsilon': 0.411307, 'degree': 4, 'coef0': 2.2253}",0.01,0.8019394776437098,0.7796050816113316,0.1980605223562902,0.20426994203188673,0.3694940665491827,0.3642180483616944
9,"{'kernel': 'sigmoid', 'C': 70.96374, 'epsilon': 1.4122, 'coef0': 0.7384}",0.01,-2266467375.855396,-2409159243.9926496,2266467376.855396,2232460021.5732617,38590.33082466143,39062.95258557847
10,"{'kernel': 'sigmoid', 'C': 89.26535, 'epsilon': 0.05399, 'coef0': 7.50992}",0.01,0.24882136904815422,0.21233818384467895,0.7511786309518458,0.7299499374120403,0.6489150416913574,0.6479583640558234
11,"{'kernel': 'sigmoid', 'C': 50.36861, 'epsilon': 1.50263, 'coef0': 0.87763}",0.01,0.7137040275787927,0.6937096411326251,0.2862959724212072,0.2838479113894068,0.4350816496103563,0.43271142290544734
