,params,noise,r2_train,r2_test,mse_train,mse_test,mae_test,mae_train
0,"{'kernel': 'linear', 'C': 64.76855, 'epsilon': 0.006793}",0.05,0.7603922982794735,0.7329379524510339,0.23960770172052642,0.24762743473096122,0.4130527435362768,0.4090607049658652
1,"{'kernel': 'linear', 'C': 21.62282, 'epsilon': 0.01343}",0.05,0.7603055975136542,0.7328552503820284,0.2396944024863458,0.2475084161111924,0.41322791529541475,0.40914149353061435
2,"{'kernel': 'linear', 'C': 6.09208, 'epsilon': 0.00285}",0.05,0.7602914225790784,0.7326914710789156,0.2397085774209215,0.24780557606937417,0.41349181052786077,0.40916635686319097
3,"{'kernel': 'rbf', 'C': 7.89739, 'epsilon': 0.020708, 'gamma': 30.10516}",0.05,0.9990542960083317,0.9987236432730754,0.0009457039916683218,0.0011831406663403874,0.01527684454999512,0.013794936924937773
4,"{'kernel': 'rbf', 'C': 7.714452, 'epsilon': 0.01036, 'gamma': 24.57617}",0.05,0.9987565978233098,0.9984173319763856,0.001243402176690207,0.0014666940573820418,0.014073857851314485,0.012410365917107136
5,"{'kernel': 'rbf', 'C': 62.90105, 'epsilon': 0.00019, 'gamma': 21.73123}",0.05,0.9987757129019714,0.9984332855245465,0.0012242870980286244,0.0014504191192846107,0.014137315987368467,0.011526949048984396
6,"{'kernel': 'poly', 'C': 98.05169, 'epsilon': 0.01403, 'degree': 6, 'coef0': 9.89688}",0.05,-608.192368228035,-624.8743427601803,609.192368228035,580.022529438818,17.68097664486651,17.936265306479548
7,"{'kernel': 'poly', 'C': 52.47482, 'epsilon': 0.00283, 'degree': 7, 'coef0': 9.45739}",0.05,-31077.656908364264,-32503.507512284446,31078.656908364268,30104.76575827176,125.35295573404281,125.23117236941114
8,"{'kernel': 'poly', 'C': 0.34617, 'epsilon': 0.411307, 'degree': 4, 'coef0': 2.2253}",0.05,0.8018864615076938,0.7802155608293234,0.19811353849230626,0.20373149843300456,0.3690074034599552,0.36424768670358215
9,"{'kernel': 'sigmoid', 'C': 70.96374, 'epsilon': 1.4122, 'coef0': 0.7384}",0.05,-2266467358.61654,-2409748695.582377,2266467359.61654,2232459925.357844,38590.32990232058,39062.95258518182
10,"{'kernel': 'sigmoid', 'C': 89.26535, 'epsilon': 0.05399, 'coef0': 7.50992}",0.05,0.24467175497052018,0.20771592237514436,0.7553282450294798,0.7341713233960366,0.650469595819494,0.6496467486485752
11,"{'kernel': 'sigmoid', 'C': 50.36861, 'epsilon': 1.50263, 'coef0': 0.87763}",0.05,0.7136257290666239,0.6929616557963647,0.28637427093337614,0.2844822654643317,0.43542743809094236,0.43290355658372953
