,params,noise,r2_train,r2_test,mse_train,mse_test,mae_test,mae_train
0,"{'kernel': 'linear', 'C': 64.76855, 'epsilon': 0.006793}",0.5,0.7540681943663333,0.7283998859228769,0.24593180563366665,0.2504168538726807,0.4159088040243553,0.41349739380600864
1,"{'kernel': 'linear', 'C': 21.62282, 'epsilon': 0.01343}",0.5,0.7539557977721278,0.7265328663948375,0.2460442022278722,0.2554907908795335,0.41999788418617984,0.41479198704908726
2,"{'kernel': 'linear', 'C': 6.09208, 'epsilon': 0.00285}",0.5,0.7530894780451474,0.7214219978889267,0.24691052195485266,0.2567694696800641,0.4193334138848761,0.4149732065147714
3,"{'kernel': 'rbf', 'C': 7.89739, 'epsilon': 0.020708, 'gamma': 30.10516}",0.5,0.991419464906735,0.9884696949113506,0.008580535093264997,0.010642418732849405,0.08103143134525992,0.07082258844906808
4,"{'kernel': 'rbf', 'C': 7.714452, 'epsilon': 0.01036, 'gamma': 24.57617}",0.5,0.9907772264814717,0.9877533556871718,0.00922277351852831,0.011443675857593403,0.08502094887018004,0.07276788857005037
5,"{'kernel': 'rbf', 'C': 62.90105, 'epsilon': 0.00019, 'gamma': 21.73123}",0.5,0.990921839524592,0.9873519777279622,0.009078160475407972,0.011699897619249658,0.08555449078141986,0.07087246829445763
6,"{'kernel': 'poly', 'C': 98.05169, 'epsilon': 0.01403, 'degree': 6, 'coef0': 9.89688}",0.5,-1177.3539629795998,-1309.3982274152056,1178.3539629796,1204.99824918709,24.666475324188614,24.584972218726563
7,"{'kernel': 'poly', 'C': 52.47482, 'epsilon': 0.00283, 'degree': 7, 'coef0': 9.45739}",0.5,-32844.18725162016,-34646.87018368788,32845.187251620155,32264.95975310279,121.62359846183917,124.58428910318247
8,"{'kernel': 'poly', 'C': 0.34617, 'epsilon': 0.411307, 'degree': 4, 'coef0': 2.2253}",0.5,0.7951337686860896,0.7736905953736196,0.20486623131391027,0.20849727190029055,0.3716342790399549,0.36860405075376085
9,"{'kernel': 'sigmoid', 'C': 70.96374, 'epsilon': 1.4122, 'coef0': 0.7384}",0.5,-2266630768.183013,-2406429639.9573026,2266630769.183013,2229823023.5604396,38581.97767727106,39065.0677873895
10,"{'kernel': 'sigmoid', 'C': 89.26535, 'epsilon': 0.05399, 'coef0': 7.50992}",0.5,0.24715683139309375,0.21482746265139774,0.7528431686069063,0.7231178940911611,0.6490061003395737,0.6505338015195257
11,"{'kernel': 'sigmoid', 'C': 50.36861, 'epsilon': 1.50263, 'coef0': 0.87763}",0.5,-1275572067.5815625,-1359554875.996418,1275572068.5815625,1255788627.7934575,28626.468409086487,28990.830716674685
