,params,noise,r2_train,r2_test,mse_train,mse_test,mae_test,mae_train
0,"{'kernel': 'linear', 'C': 64.76855, 'epsilon': 0.006793}",0.1,0.7603086365870397,0.7321176703391463,0.2396913634129602,0.2480529144830561,0.41334704329836525,0.40911118221481774
1,"{'kernel': 'linear', 'C': 21.62282, 'epsilon': 0.01343}",0.1,0.7600917262059639,0.7317792619570538,0.23990827379403604,0.24876561110304232,0.41431130183963105,0.4092661503312454
2,"{'kernel': 'linear', 'C': 6.09208, 'epsilon': 0.00285}",0.1,0.7603315269368043,0.7330779336022375,0.2396684730631958,0.24709849791330618,0.41222440426128476,0.409257453055736
3,"{'kernel': 'rbf', 'C': 7.89739, 'epsilon': 0.020708, 'gamma': 30.10516}",0.1,0.9989016784597601,0.9984427068999366,0.0010983215402398964,0.0014418491499547737,0.02192398986611902,0.018901215079499892
4,"{'kernel': 'rbf', 'C': 7.714452, 'epsilon': 0.01036, 'gamma': 24.57617}",0.1,0.9985683735507537,0.9981202290641414,0.001431626449246288,0.001739598862590801,0.021712569221648506,0.018870224516914665
5,"{'kernel': 'rbf', 'C': 62.90105, 'epsilon': 0.00019, 'gamma': 21.73123}",0.1,0.9986110578854207,0.9982181667075316,0.001388942114579325,0.0016531486325642684,0.021502311425214197,0.01787520256194481
6,"{'kernel': 'poly', 'C': 98.05169, 'epsilon': 0.01403, 'degree': 6, 'coef0': 9.89688}",0.1,-1334.8366299844454,-1513.3381417229436,1335.8366299844456,1402.4086181048099,27.203610665639324,26.648561237951682
7,"{'kernel': 'poly', 'C': 52.47482, 'epsilon': 0.00283, 'degree': 7, 'coef0': 9.45739}",0.1,-20290.660390188536,-21693.44762870042,20291.66039018854,20100.649106630837,108.97962609665349,109.46893171431581
8,"{'kernel': 'poly', 'C': 0.34617, 'epsilon': 0.411307, 'degree': 4, 'coef0': 2.2253}",0.1,0.8014703870508388,0.7801184221399148,0.19852961294916116,0.20364441504137,0.36873309575584473,0.3645600544060028
9,"{'kernel': 'sigmoid', 'C': 70.96374, 'epsilon': 1.4122, 'coef0': 0.7384}",0.1,-2266467388.872631,-2408699054.9888034,2266467389.8726315,2232459999.985579,38590.33019645514,39062.95249229718
10,"{'kernel': 'sigmoid', 'C': 89.26535, 'epsilon': 0.05399, 'coef0': 7.50992}",0.1,0.2477907268761408,0.21075255241629998,0.7522092731238592,0.7322125375337389,0.649374462861553,0.6482621558684851
11,"{'kernel': 'sigmoid', 'C': 50.36861, 'epsilon': 1.50263, 'coef0': 0.87763}",0.1,0.7068241790049131,0.6871584677725286,0.2931758209950869,0.29090211588062015,0.4402362848486807,0.43762746981892964
