,params,noise,r2_train,r2_test,mse_train,mse_test,mae_test,mae_train
0,"{'kernel': 'linear', 'C': 64.76855, 'epsilon': 0.006793}",5.0,0.3874317178588499,0.3773353408307607,0.61256828214115,0.5959691193896777,0.6181375816719021,0.6250474453531213
1,"{'kernel': 'linear', 'C': 21.62282, 'epsilon': 0.01343}",5.0,0.3950008338278568,0.38789144965517297,0.6049991661721433,0.5610262390872555,0.5984216314230805,0.624385173028812
2,"{'kernel': 'linear', 'C': 6.09208, 'epsilon': 0.00285}",5.0,0.39503806661128016,0.3472121896474717,0.6049619333887198,0.6283072551641645,0.6279930799750878,0.6226614571189777
3,"{'kernel': 'rbf', 'C': 7.89739, 'epsilon': 0.020708, 'gamma': 30.10516}",5.0,0.5571530062654986,0.44248921318054446,0.4428469937345013,0.5169663611521271,0.5766191105915208,0.5074236178789387
4,"{'kernel': 'rbf', 'C': 7.714452, 'epsilon': 0.01036, 'gamma': 24.57617}",5.0,0.5486035105603666,0.46001785900194236,0.45139648943963334,0.5277773217160068,0.5771536688715427,0.5135565551530268
5,"{'kernel': 'rbf', 'C': 62.90105, 'epsilon': 0.00019, 'gamma': 21.73123}",5.0,0.536117973669839,0.41649211256176455,0.46388202633016096,0.5869543784252476,0.6051967143596301,0.5145608545169471
6,"{'kernel': 'poly', 'C': 98.05169, 'epsilon': 0.01403, 'degree': 6, 'coef0': 9.89688}",5.0,-738.0439424227906,-768.5364470223145,739.0439424227906,753.4054281606756,20.678239083523604,20.288840909017843
7,"{'kernel': 'poly', 'C': 52.47482, 'epsilon': 0.00283, 'degree': 7, 'coef0': 9.45739}",5.0,-26980.50298685413,-25514.742087181516,26981.50298685413,24002.66707989584,100.8201997236055,106.76818842513987
8,"{'kernel': 'poly', 'C': 0.34617, 'epsilon': 0.411307, 'degree': 4, 'coef0': 2.2253}",5.0,0.416631287058975,0.3822057565440089,0.583368712941025,0.5682685357584273,0.592943955372635,0.6110687406224445
9,"{'kernel': 'sigmoid', 'C': 70.96374, 'epsilon': 1.4122, 'coef0': 0.7384}",5.0,-2266631457.6763935,-2523003454.848842,2266631458.6763935,2229824304.8644724,38581.978214488794,39065.06685464466
10,"{'kernel': 'sigmoid', 'C': 89.26535, 'epsilon': 0.05399, 'coef0': 7.50992}",5.0,0.06500650192054735,-0.027512032706082934,0.9349934980794524,1.0094597865192256,0.7836153073055953,0.760407647691869
11,"{'kernel': 'sigmoid', 'C': 50.36861, 'epsilon': 1.50263, 'coef0': 0.87763}",5.0,-1275569667.432635,-1242960200.97261,1275569668.432635,1255777917.3014774,28626.347577261655,28990.839056108514
