,params,noise,r2_train,r2_test,mse_train,mse_test,mae_test,mae_train
0,"{'kernel': 'linear', 'C': 64.76855, 'epsilon': 0.006793}",0.01,0.7604256339704605,0.7328493385629765,0.23957436602953955,0.2475282804003944,0.4129748650169417,0.4090535311423046
1,"{'kernel': 'linear', 'C': 21.62282, 'epsilon': 0.01343}",0.01,0.760406605394778,0.732902182846491,0.23959339460522197,0.24748385837793888,0.41294789103769347,0.40904253654380685
2,"{'kernel': 'linear', 'C': 6.09208, 'epsilon': 0.00285}",0.01,0.7604101915576026,0.7328422057400246,0.23958980844239744,0.2475484396220879,0.4131489009327689,0.4090605890754023
3,"{'kernel': 'rbf', 'C': 7.89739, 'epsilon': 0.020708, 'gamma': 30.10516}",0.01,0.9989749307022874,0.9987139536108494,0.001025069297712575,0.0011919999178130344,0.018104808388920125,0.017324581464112893
