"","rules","support","confidence","lift","count"
"85977","{param_C=small,param_epsilon=small,param_gamma=small} => {mean_train_neg_mean_squared_error=medium}",0.064,1,2.1551724137931,8
"85979","{param_C=small,param_epsilon=small,param_gamma=small} => {mean_test_neg_mean_squared_error=medium}",0.064,1,2.1551724137931,8
"85981","{param_C=small,param_epsilon=small,param_gamma=small} => {mean_train_neg_mean_absolute_error=medium}",0.064,1,2.1551724137931,8
"85983","{param_C=small,param_epsilon=small,param_gamma=small} => {mean_test_neg_mean_absolute_error=medium}",0.064,1,2.1551724137931,8
"86004","{param_C=small,param_epsilon=small,param_gamma=big} => {mean_train_r2=medium}",0.08,0.833333333333333,1.79597701149425,10
"86022","{param_C=small,param_epsilon=small,param_gamma=big} => {mean_test_r2=medium}",0.08,0.833333333333333,1.79597701149425,10
"86037","{param_C=small,param_epsilon=small,param_gamma=big} => {mean_train_neg_mean_squared_error=medium}",0.08,0.833333333333333,1.79597701149425,10
"86049","{param_C=small,param_epsilon=small,param_gamma=big} => {mean_test_neg_mean_squared_error=medium}",0.08,0.833333333333333,1.79597701149425,10
"86058","{param_C=small,param_epsilon=small,param_gamma=big} => {mean_train_neg_mean_absolute_error=medium}",0.064,0.666666666666667,1.4367816091954,8
"86064","{param_C=small,param_epsilon=small,param_gamma=big} => {mean_test_neg_mean_absolute_error=medium}",0.064,0.666666666666667,1.4367816091954,8
"86074","{param_C=small,param_epsilon=big,param_gamma=small} => {std_train_r2=medium}",0.064,0.666666666666667,1.46198830409357,8
"86096","{param_C=small,param_epsilon=big,param_gamma=small} => {mean_train_r2=medium}",0.064,0.666666666666667,1.4367816091954,8
"86115","{param_C=small,param_epsilon=big,param_gamma=small} => {mean_test_r2=medium}",0.064,0.666666666666667,1.4367816091954,8
"86131","{param_C=small,param_epsilon=big,param_gamma=small} => {mean_train_neg_mean_squared_error=medium}",0.064,0.666666666666667,1.4367816091954,8
"86144","{param_C=small,param_epsilon=big,param_gamma=small} => {mean_test_neg_mean_squared_error=medium}",0.064,0.666666666666667,1.4367816091954,8
"86154","{param_C=small,param_epsilon=big,param_gamma=small} => {mean_train_neg_mean_absolute_error=medium}",0.064,0.666666666666667,1.4367816091954,8
